origin_id,origin_name,origin_lat,origin_lon,destination_id,destination_name,destination_lat,destination_lon,travel_time
5,Staten Island,40.8169443,-73.9558333,1,57-59 East 11 Street,40.7331486,-73.9923546,47.9
5,Staten Island,40.8169443,-73.9558333,2,817 Broadway,40.7331808,-73.9914967,46.5
5,Staten Island,40.8169443,-73.9558333,3,31 Bond Street,40.7260895,-73.9936315,43.4
5,Staten Island,40.8169443,-73.9558333,4,363 Lafayette Street,40.7269776,-73.9936315,43.1
5,Staten Island,40.8169443,-73.9558333,5,137 2nd Avenue,40.7289918,73.9876548,43.7
5,Staten Island,40.8169443,-73.9558333,6,155 West 23rd Street,40.743953,-73.99459,46
5,Staten Island,40.8169443,-73.9558333,7,155 Avenue of the Americas,40.725395,-74.0048,39.1
5,Staten Island,40.8169443,-73.9558333,8,13-15 West 27 Street,40.7445207,-73.98824,48.4
5,Staten Island,40.8169443,-73.9558333,9,45 West 27 Street,40.7451715,-73.99003,49.4
5,Staten Island,40.8169443,-73.9558333,10,920 Broadway,40.7395741,-73.98947,46.5
5,Staten Island,40.8169443,-73.9558333,11,499 West 126th Street,40.8141211,-73.9557,54.7
5,Staten Island,40.8169443,-73.9558333,12,461 West 126th Street,40.8136528,-73.95507,54.4
5,Staten Island,40.8169443,-73.9558333,13,1825 Park Avenue,40.805205,-73.9386147,53.5
5,Staten Island,40.8169443,-73.9558333,14,125 West 25 St,40.7447685,-73.9929717,48.1
5,Staten Island,40.8169443,-73.9558333,15,31 West 27th Street,40.7449561,-73.9893974,49
5,Staten Island,40.8169443,-73.9558333,16,71 Fifth Avenue,40.7363425,-73.9928281,49
5,Staten Island,40.8169443,-73.9558333,17,606 Broadway,40.9978546,-73.8808421,64.1
5,Staten Island,40.8169443,-73.9558333,18,335 Madison,40.7537571,-73.9783438,46.5
5,Staten Island,40.8169443,-73.9558333,19,36 3rd Ave,40.7304732,-73.989476,43.9
5,Staten Island,40.8169443,-73.9558333,20,Union Square,40.735715,-73.989732,46.7
5,Staten Island,40.8169443,-73.9558333,21,462 Broadway,40.721013,-74.000398,41.4
,,,,,,,,
6,Manhattanville,40.8169443,-73.9558333,1,57-59 East 11 Street,40.7331486,-73.9923546,30.9
6,Manhattanville,40.8169443,-73.9558333,2,817 Broadway,40.7331808,-73.9914967,29.6
6,Manhattanville,40.8169443,-73.9558333,3,31 Bond Street,40.7260895,-73.9936315,31.8
6,Manhattanville,40.8169443,-73.9558333,4,363 Lafayette Street,40.7269776,-73.9936315,31.5
6,Manhattanville,40.8169443,-73.9558333,5,137 2nd Avenue,40.7289918,73.9876548,30.7
6,Manhattanville,40.8169443,-73.9558333,6,155 West 23rd Street,40.743953,-73.99459,23.5
6,Manhattanville,40.8169443,-73.9558333,7,155 Avenue of the Americas,40.725395,-74.0048,27.3
6,Manhattanville,40.8169443,-73.9558333,8,13-15 West 27 Street,40.7445207,-73.98824,27.7
6,Manhattanville,40.8169443,-73.9558333,9,45 West 27 Street,40.7451715,-73.99003,27
6,Manhattanville,40.8169443,-73.9558333,10,920 Broadway,40.7395741,-73.98947,27.6
6,Manhattanville,40.8169443,-73.9558333,11,499 West 126th Street,40.8141211,-73.9557,5.3
6,Manhattanville,40.8169443,-73.9558333,12,461 West 126th Street,40.8136528,-73.95507,4.9
6,Manhattanville,40.8169443,-73.9558333,13,1825 Park Avenue,40.805205,-73.9386147,12.5
6,Manhattanville,40.8169443,-73.9558333,14,125 West 25 St,40.7447685,-73.9929717,25.4
6,Manhattanville,40.8169443,-73.9558333,15,31 West 27th Street,40.7449561,-73.9893974,26.7
6,Manhattanville,40.8169443,-73.9558333,16,71 Fifth Avenue,40.7363425,-73.9928281,30.1
6,Manhattanville,40.8169443,-73.9558333,17,606 Broadway,40.9978546,-73.8808421,24.7
6,Manhattanville,40.8169443,-73.9558333,18,335 Madison,40.7537571,-73.9783438,26.7
6,Manhattanville,40.8169443,-73.9558333,19,36 3rd Ave,40.7304732,-73.989476,32.8
6,Manhattanville,40.8169443,-73.9558333,20,Union Square,40.735715,-73.989732,29.8
6,Manhattanville,40.8169443,-73.9558333,21,462 Broadway,40.721013,-74.000398,32
,,,,,,,,
7,Upper East Side,40.8169443,-73.9558333,1,57-59 East 11 Street,40.7331486,-73.9923546,18.9
7,Upper East Side,40.8169443,-73.9558333,2,817 Broadway,40.7331808,-73.9914967,21
7,Upper East Side,40.8169443,-73.9558333,3,31 Bond Street,40.7260895,-73.9936315,19.8
7,Upper East Side,40.8169443,-73.9558333,4,363 Lafayette Street,40.7269776,-73.9936315,19.5
7,Upper East Side,40.8169443,-73.9558333,5,137 2nd Avenue,40.7289918,73.9876548,15.6
7,Upper East Side,40.8169443,-73.9558333,6,155 West 23rd Street,40.743953,-73.99459,19.6
7,Upper East Side,40.8169443,-73.9558333,7,155 Avenue of the Americas,40.725395,-74.0048,24.6
7,Upper East Side,40.8169443,-73.9558333,8,13-15 West 27 Street,40.7445207,-73.98824,17.3
7,Upper East Side,40.8169443,-73.9558333,9,45 West 27 Street,40.7451715,-73.99003,18.3
7,Upper East Side,40.8169443,-73.9558333,10,920 Broadway,40.7395741,-73.98947,17.7
7,Upper East Side,40.8169443,-73.9558333,11,499 West 126th Street,40.8141211,-73.9557,21
7,Upper East Side,40.8169443,-73.9558333,12,461 West 126th Street,40.8136528,-73.95507,20.6
7,Upper East Side,40.8169443,-73.9558333,13,1825 Park Avenue,40.805205,-73.9386147,15.2
7,Upper East Side,40.8169443,-73.9558333,14,125 West 25 St,40.7447685,-73.9929717,20.1
7,Upper East Side,40.8169443,-73.9558333,15,31 West 27th Street,40.7449561,-73.9893974,18
7,Upper East Side,40.8169443,-73.9558333,16,71 Fifth Avenue,40.7363425,-73.9928281,20.2
7,Upper East Side,40.8169443,-73.9558333,17,606 Broadway,40.9978546,-73.8808421,32.2
7,Upper East Side,40.8169443,-73.9558333,18,335 Madison,40.7537571,-73.9783438,14.6
7,Upper East Side,40.8169443,-73.9558333,19,36 3rd Ave,40.7304732,-73.989476,17
7,Upper East Side,40.8169443,-73.9558333,20,Union Square,40.735715,-73.989732,17.8
7,Upper East Side,40.8169443,-73.9558333,21,462 Broadway,40.721013,-74.000398,22.1
,,,,,,,,
8,Upper West Side,40.81694,-73.95583,1,57-59 East 11 Street,40.7331486,-73.992355,28.8
8,Upper West Side,40.81694,-73.95583,2,817 Broadway,40.7331808,-73.991497,27.6
8,Upper West Side,40.81694,-73.95583,3,31 Bond Street,40.7260895,-73.99363,29.7
8,Upper West Side,40.81694,-73.95583,4,363 Lafayette Street,40.7269776,-73.99363,29.4
8,Upper West Side,40.81694,-73.95583,5,137 2nd Avenue,40.7289918,73.98765,26.8
8,Upper West Side,40.81694,-73.95583,6,155 West 23rd Street,40.743953,-73.99459,21.5
8,Upper West Side,40.81694,-73.95583,7,155 Avenue of the Americas,40.725395,-74.0048,25.2
8,Upper West Side,40.81694,-73.95583,8,13-15 West 27 Street,40.7445207,-73.98824,25.7
8,Upper West Side,40.81694,-73.95583,9,45 West 27 Street,40.7451715,-73.99003,25
8,Upper West Side,40.81694,-73.95583,10,920 Broadway,40.7395741,-73.98947,25.6
8,Upper West Side,40.81694,-73.95583,11,499 West 126th Street,40.8141211,-73.9557,13.9
8,Upper West Side,40.81694,-73.95583,12,461 West 126th Street,40.8136528,-73.95507,13.5
8,Upper West Side,40.81694,-73.95583,13,1825 Park Avenue,40.805205,-73.93861,16
8,Upper West Side,40.81694,-73.95583,14,125 West 25 St,40.7447685,-73.99297,23.4
8,Upper West Side,40.81694,-73.95583,15,31 West 27th Street,40.7449561,-73.9894,24.7
8,Upper West Side,40.81694,-73.95583,16,71 Fifth Avenue,40.7363425,-73.99283,28.1
8,Upper West Side,40.81694,-73.95583,17,606 Broadway,40.9978546,-73.88084,29.2
8,Upper West Side,40.81694,-73.95583,18,335 Madison,40.7537571,-73.97834,22.9
8,Upper West Side,40.81694,-73.95583,19,36 3rd Ave,40.7304732,-73.98948,28.3
8,Upper West Side,40.81694,-73.95583,20,Union Square,40.735715,-73.98973,27.8
8,Upper West Side,40.81694,-73.95583,21,462 Broadway,40.721013,-74.0004,30
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
